game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
1999_01_MIN_ATL,1999,REG,1,1999-09-12,Sunday,NA,MIN,ATL,17,14,-3,Georgia Dome,Home,dome,astroturf,1999091210
1999_01_KC_CHI,1999,REG,1,1999-09-12,Sunday,NA,KC,CHI,17,20,3,Soldier Field,Home,outdoors,grass,1999091206
1999_01_PIT_CLE,1999,REG,1,1999-09-12,Sunday,NA,PIT,CLE,43,0,-43,Cleveland Browns Stadium,Home,outdoors,grass,1999091213
1999_01_OAK_GB,1999,REG,1,1999-09-12,Sunday,NA,OAK,GB,24,28,4,Lambeau Field,Home,outdoors,grass,1999091208
1999_01_BUF_IND,1999,REG,1,1999-09-12,Sunday,NA,BUF,IND,14,31,17,RCA Dome,Home,dome,astroturf,1999091202
1999_01_SF_JAX,1999,REG,1,1999-09-12,Sunday,NA,SF,JAX,3,41,38,Alltel Stadium,Home,outdoors,grass,1999091212
1999_01_CAR_NO,1999,REG,1,1999-09-12,Sunday,NA,CAR,NO,10,19,9,Louisiana Superdome,Home,dome,astroturf,1999091203
1999_01_NE_NYJ,1999,REG,1,1999-09-12,Sunday,NA,NE,NYJ,30,28,-2,Giants Stadium,Home,outdoors,astroturf,1999091207
1999_01_ARI_PHI,1999,REG,1,1999-09-12,Sunday,NA,ARI,PHI,25,24,-1,Veterans Stadium,Home,outdoors,astroturf,1999091200
1999_01_DET_SEA,1999,REG,1,1999-09-12,Sunday,NA,DET,SEA,28,20,-8,Seattle Kingdome,Home,dome,astroturf,1999091209
1999_01_BAL_STL,1999,REG,1,1999-09-12,Sunday,NA,BAL,STL,10,27,17,TWA Dome,Home,dome,astroturf,1999091201
1999_01_NYG_TB,1999,REG,1,1999-09-12,Sunday,NA,NYG,TB,17,13,-4,Raymond James Stadium,Home,outdoors,grass,1999091211
1999_01_CIN_TEN,1999,REG,1,1999-09-12,Sunday,NA,CIN,TEN,35,36,1,Adelphia Coliseum,Home,outdoors,grass,1999091204
1999_01_DAL_WAS,1999,REG,1,1999-09-12,Sunday,NA,DAL,WAS,41,35,-6,Jack Kent Cooke Stadium,Home,outdoors,grass,1999091205
1999_01_MIA_DEN,1999,REG,1,1999-09-13,Monday,NA,MIA,DEN,38,21,-17,Mile High Stadium,Home,outdoors,grass,1999091300
1999_02_PIT_BAL,1999,REG,2,1999-09-19,Sunday,NA,PIT,BAL,23,20,-3,PSINet Stadium,Home,outdoors,grass,1999091905
1999_02_NYJ_BUF,1999,REG,2,1999-09-19,Sunday,NA,NYJ,BUF,3,17,14,Ralph Wilson Stadium,Home,outdoors,astroturf,1999091913
1999_02_JAX_CAR,1999,REG,2,1999-09-19,Sunday,NA,JAX,CAR,22,20,-2,Ericsson Stadium,Home,outdoors,grass,1999091903
1999_02_SEA_CHI,1999,REG,2,1999-09-19,Sunday,NA,SEA,CHI,14,13,-1,Soldier Field,Home,outdoors,grass,1999091907
1999_02_SD_CIN,1999,REG,2,1999-09-19,Sunday,NA,SD,CIN,34,7,-27,Cinergy Field,Home,outdoors,astroturf,1999091906
1999_02_GB_DET,1999,REG,2,1999-09-19,Sunday,NA,GB,DET,15,23,8,Pontiac Silverdome,Home,dome,astroturf,1999091901
1999_02_DEN_KC,1999,REG,2,1999-09-19,Sunday,NA,DEN,KC,10,26,16,Arrowhead Stadium,Home,outdoors,grass,1999091912
1999_02_ARI_MIA,1999,REG,2,1999-09-19,Sunday,NA,ARI,MIA,16,19,3,Pro Player Stadium,Home,outdoors,grass,1999091900
1999_02_OAK_MIN,1999,REG,2,1999-09-19,Sunday,NA,OAK,MIN,22,17,-5,Hubert H. Humphrey Metrodome,Home,dome,astroturf,1999091904
1999_02_IND_NE,1999,REG,2,1999-09-19,Sunday,NA,IND,NE,28,31,3,Foxboro Stadium,Home,outdoors,grass,1999091902
1999_02_WAS_NYG,1999,REG,2,1999-09-19,Sunday,NA,WAS,NYG,50,21,-29,Giants Stadium,Home,outdoors,astroturf,1999091909
1999_02_TB_PHI,1999,REG,2,1999-09-19,Sunday,NA,TB,PHI,19,5,-14,Veterans Stadium,Home,outdoors,astroturf,1999091908
1999_02_NO_SF,1999,REG,2,1999-09-19,Sunday,NA,NO,SF,21,28,7,3Com Park,Home,outdoors,grass,1999091910
1999_02_CLE_TEN,1999,REG,2,1999-09-19,Sunday,NA,CLE,TEN,9,26,17,Adelphia Coliseum,Home,outdoors,grass,1999091911
1999_02_ATL_DAL,1999,REG,2,1999-09-20,Monday,NA,ATL,DAL,7,24,17,Texas Stadium,Home,outdoors,astroturf,1999092000
1999_03_CLE_BAL,1999,REG,3,1999-09-26,Sunday,NA,CLE,BAL,10,17,7,PSINet Stadium,Home,outdoors,grass,1999092603
1999_03_PHI_BUF,1999,REG,3,1999-09-26,Sunday,NA,PHI,BUF,0,26,26,Ralph Wilson Stadium,Home,outdoors,astroturf,1999092606
1999_03_CIN_CAR,1999,REG,3,1999-09-26,Sunday,NA,CIN,CAR,3,27,24,Ericsson Stadium,Home,outdoors,grass,1999092602
1999_03_MIN_GB,1999,REG,3,1999-09-26,Sunday,NA,MIN,GB,20,23,3,Lambeau Field,Home,outdoors,grass,1999092611
1999_03_TEN_JAX,1999,REG,3,1999-09-26,Sunday,NA,TEN,JAX,20,19,-1,Alltel Stadium,Home,outdoors,grass,1999092608
1999_03_DET_KC,1999,REG,3,1999-09-26,Sunday,NA,DET,KC,21,31,10,Arrowhead Stadium,Home,outdoors,grass,1999092605
1999_03_NYG_NE,1999,REG,3,1999-09-26,Sunday,NA,NYG,NE,14,16,2,Foxboro Stadium,Home,outdoors,grass,1999092612
1999_03_WAS_NYJ,1999,REG,3,1999-09-26,Sunday,NA,WAS,NYJ,27,20,-7,Giants Stadium,Home,outdoors,astroturf,1999092601
1999_03_CHI_OAK,1999,REG,3,1999-09-26,Sunday,NA,CHI,OAK,17,24,7,Network Associates Coliseum,Home,outdoors,grass,1999092610
1999_03_SEA_PIT,1999,REG,3,1999-09-26,Sunday,NA,SEA,PIT,29,10,-19,Three Rivers Stadium,Home,outdoors,astroturf,1999092607
1999_03_IND_SD,1999,REG,3,1999-09-26,Sunday,NA,IND,SD,27,19,-8,Qualcomm Stadium,Home,outdoors,grass,1999092609
1999_03_ATL_STL,1999,REG,3,1999-09-26,Sunday,NA,ATL,STL,7,35,28,TWA Dome,Home,dome,astroturf,1999092600
1999_03_DEN_TB,1999,REG,3,1999-09-26,Sunday,NA,DEN,TB,10,13,3,Raymond James Stadium,Home,outdoors,grass,1999092604
1999_03_SF_ARI,1999,REG,3,1999-09-27,Monday,NA,SF,ARI,24,10,-14,Sun Devil Stadium,Home,outdoors,grass,1999092700
1999_04_BAL_ATL,1999,REG,4,1999-10-03,Sunday,NA,BAL,ATL,19,13,-6,Georgia Dome,Home,dome,astroturf,1999100301
1999_04_NO_CHI,1999,REG,4,1999-10-03,Sunday,NA,NO,CHI,10,14,4,Soldier Field,Home,outdoors,grass,1999100304
1999_04_STL_CIN,1999,REG,4,1999-10-03,Sunday,NA,STL,CIN,38,10,-28,Cinergy Field,Home,outdoors,astroturf,1999100306
1999_04_NE_CLE,1999,REG,4,1999-10-03,Sunday,NA,NE,CLE,19,7,-12,Cleveland Browns Stadium,Home,outdoors,grass,1999100303
1999_04_ARI_DAL,1999,REG,4,1999-10-03,Sunday,NA,ARI,DAL,7,35,28,Texas Stadium,Home,outdoors,astroturf,1999100300
1999_04_NYJ_DEN,1999,REG,4,1999-10-03,Sunday,NA,NYJ,DEN,21,13,-8,Mile High Stadium,Home,outdoors,grass,1999100310
1999_04_TB_MIN,1999,REG,4,1999-10-03,Sunday,NA,TB,MIN,14,21,7,Hubert H. Humphrey Metrodome,Home,dome,astroturf,1999100307
1999_04_PHI_NYG,1999,REG,4,1999-10-03,Sunday,NA,PHI,NYG,15,16,1,Giants Stadium,Home,outdoors,astroturf,1999100305
